"variable","MI","MO","TX","P-aov","P-oneway"
"B","3.233±0.06","2.645±0.046","5.565±0.059","1.6e-246","1.23888771103522e-220"
"Na","9.717±0.169","25.56±0.528","70.455±1.471","1.48219693752374e-322","1.63938490313163e-255"
"Mg","1309.455±11.077","1144.487±8.396","1529.845±13.577","5.78e-113","4.05728480067602e-107"
"Al","41.056±0.503","76.174±0.713","58.96±0.729","9.22999999999999e-234","9.54225494963702e-229"
"P","293.703±3.373","485.082±7.217","420.841±4.115","3.83e-131","5.48290421125971e-147"
"K","55911.801±957.901","60031.525±1010.36","60161.551±882.252","0.002","0.00160024450704999"
"Ca","1407.747±14.985","1419.56±12.426","3768.315±34.678","0","0"
"Mn","48.273±0.578","80.632±0.97","27.464±0.311","0","0"
"Fe","27.69±0.249","32.882±0.413","43.48±0.4","1.33e-175","1.30174782209875e-171"
"Co","0.028±0","0.14±0.004","0.065±0.001","2.09e-237","1.23234859894203e-248"
"Cu","3.801±0.036","8.325±0.117","4.926±0.058","2.53e-278","4.84448468199485e-205"
"Zn","6.509±0.096","10.995±0.147","18.819±0.349","1.71e-244","2.74939690924819e-207"
"As","0.01±0","0.013±0","0.01±0","5.41e-16","4.86069211901062e-10"
"Se","0.009±0.001","0.039±0.001","0.047±0.001","5.17e-124","6.23468178041456e-163"
"Rb","1.087±0.019","2.436±0.026","1.788±0.027","8.94e-244","1.18591376041794e-237"
"Sr","3.846±0.04","8.534±0.078","8.459±0.073","0","0"
"Mo","0.032±0","0.059±0.001","0.053±0.001","6.25e-132","2.26430593250037e-169"
"Cd","0.03±0.001","0.024±0.001","0.003±0","6.13e-247","5.50979332403853e-277"
