"Element","P","K","Ca","Mg","Rb","Sr","B","Mn","Fe","Co","Cu","Zn","Se","Mo","Na","Al","As","Cd","SITE"
"P","1","","","","","","","","","","","","","","","","","","MI"
"K","0.32","1","","","","","","","","","","","","","","","","","MI"
"Ca","0.08","-0.14","1","","","","","","","","","","","","","","","","MI"
"Mg","0.06","-0.32","0.49","1","","","","","","","","","","","","","","","MI"
"Rb","0.47","0.86","-0.16","-0.25","1","","","","","","","","","","","","","","MI"
"Sr","0.09","-0.25","0.86","0.55","-0.19","1","","","","","","","","","","","","","MI"
"B","-0.17","0.03","-0.27","-0.3","0.06","-0.33","1","","","","","","","","","","","","MI"
"Mn","0.27","-0.02","0.24","0.32","-0.03","0.41","-0.4","1","","","","","","","","","","","MI"
"Fe","0.5","0.08","0.29","0.04","0.16","0.33","-0.33","0.3","1","","","","","","","","","","MI"
"Co","0.21","-0.17","0.25","0.09","-0.08","0.41","-0.25","0.5","0.51","1","","","","","","","","","MI"
"Cu","0.33","-0.19","0.15","0.26","-0.04","0.33","-0.1","0.2","0.31","0.44","1","","","","","","","","MI"
"Zn","0.21","0.19","-0.11","-0.06","0.17","-0.16","0.24","0.06","-0.03","0.05","0.08","1","","","","","","","MI"
"Se","0.06","0.14","-0.06","-0.14","0.11","-0.14","0.17","-0.11","-0.1","-0.03","-0.02","0.2","1","","","","","","MI"
"Mo","0.29","-0.05","0.22","0.11","0.05","0.22","-0.17","0.12","0.55","0.4","0.37","-0.08","-0.09","1","","","","","MI"
"Na","0.08","0.41","-0.18","-0.08","0.49","-0.2","0.29","-0.29","-0.14","-0.11","0.03","0.17","0.05","-0.04","1","","","","MI"
"Al","0.49","0.15","0.21","0.01","0.2","0.27","-0.35","0.3","0.78","0.25","0.2","0.01","-0.17","0.38","-0.2","1","","","MI"
"As","0.26","0","0.3","0.23","0.06","0.39","-0.41","0.31","0.67","0.23","0.16","-0.18","-0.25","0.37","-0.14","0.71","1","","MI"
"Cd","-0.07","-0.01","0.18","0.33","-0.09","0.2","-0.24","0.29","0.1","-0.07","-0.02","0.03","-0.13","0.01","-0.18","0.18","0.25","1","MI"
"P","1","","","","","","","","","","","","","","","","","","MO"
"K","0.1","1","","","","","","","","","","","","","","","","","MO"
"Ca","0.09","0.02","1","","","","","","","","","","","","","","","","MO"
"Mg","0.13","0.02","0.41","1","","","","","","","","","","","","","","","MO"
"Rb","0.18","-0.16","-0.24","0.06","1","","","","","","","","","","","","","","MO"
"Sr","0.02","0","0.86","0.45","-0.05","1","","","","","","","","","","","","","MO"
"B","-0.1","0.06","0.07","0.17","0.04","0.16","1","","","","","","","","","","","","MO"
"Mn","0.11","-0.12","0.35","0.33","0.23","0.57","0.22","1","","","","","","","","","","","MO"
"Fe","0.21","0.07","0.28","0.08","-0.16","0.2","-0.01","0.09","1","","","","","","","","","","MO"
"Co","0.07","0.09","-0.07","0.03","0.08","0.08","0.09","0.11","0.27","1","","","","","","","","","MO"
"Cu","0.33","0.08","0.12","0.05","0.1","0.18","0.08","0.3","0.22","0.53","1","","","","","","","","MO"
"Zn","0.35","0.02","0.18","0.09","0.16","0.11","0.06","0.18","0.16","-0.01","0.3","1","","","","","","","MO"
"Se","0.02","0.09","0.09","-0.04","0.01","0.01","0.03","-0.13","0.07","-0.07","0.05","0.02","1","","","","","","MO"
"Mo","0.18","-0.02","0.29","0.15","-0.23","0.06","-0.01","0","0.07","-0.12","0.17","0.24","-0.06","1","","","","","MO"
"Na","-0.07","-0.08","-0.21","-0.02","0.2","-0.19","0.08","-0.06","-0.08","-0.09","-0.08","0.05","0.16","-0.13","1","","","","MO"
"Al","0.22","0.11","0.18","0.01","0.07","0.18","0.1","0.07","0.63","0.56","0.51","0.21","0.02","0","-0.12","1","","","MO"
"As","-0.12","0.01","0.29","0.19","-0.05","0.31","0.04","0.08","0.28","0.21","0.16","-0.05","0.12","0.07","-0.1","0.31","1","","MO"
"Cd","-0.23","-0.14","0.14","0.23","-0.15","0.26","0.16","0.44","-0.03","0.13","-0.04","-0.07","-0.4","0.11","0.04","-0.11","-0.13","1","MO"
"P","1","","","","","","","","","","","","","","","","","","TX"
"K","0.16","1","","","","","","","","","","","","","","","","","TX"
"Ca","0.21","-0.01","1","","","","","","","","","","","","","","","","TX"
"Mg","0.23","0.03","0.23","1","","","","","","","","","","","","","","","TX"
"Rb","0.36","0.51","0.04","0.33","1","","","","","","","","","","","","","","TX"
"Sr","0.15","-0.1","0.79","0.3","0.01","1","","","","","","","","","","","","","TX"
"B","0.33","-0.07","0.29","0.33","0.39","0.27","1","","","","","","","","","","","","TX"
"Mn","0.14","-0.02","0.32","0.19","0.1","0.29","0.28","1","","","","","","","","","","","TX"
"Fe","0.31","-0.14","0.23","0.11","0.02","0.14","0.29","0.18","1","","","","","","","","","","TX"
"Co","0.13","0.1","0.18","0.09","0.13","0.1","0.31","0.25","0.35","1","","","","","","","","","TX"
"Cu","0.15","-0.05","0.01","0.04","-0.03","0.13","0.11","0.17","0.29","0.32","1","","","","","","","","TX"
"Zn","0.03","0.02","0.16","-0.1","-0.07","0.13","-0.02","0.1","0.03","0.14","0.23","1","","","","","","","TX"
"Se","0.16","0.02","0.29","0.18","0.06","0.35","0.16","0.08","0.18","0.14","0.17","0.04","1","","","","","","TX"
"Mo","0.09","-0.06","0.15","-0.05","-0.02","0.15","0.23","0.05","0.31","0.2","0.29","0.06","0.19","1","","","","","TX"
"Na","0.05","-0.05","-0.02","0.21","0.23","-0.01","0.28","0.04","0.2","0.07","0.08","-0.01","0.1","0.1","1","","","","TX"
"Al","0.2","-0.04","0.24","0.01","0.01","0.14","0.1","0.11","0.5","0.08","0.1","0.02","0.02","0.11","-0.07","1","","","TX"
"As","0.15","-0.21","0.24","0.2","0.2","0.13","0.46","0.18","0.49","0.19","0.03","0.01","0.11","0.21","0.39","0.26","1","","TX"
"Cd","-0.03","-0.12","0.11","0.06","-0.07","0.09","0.07","0.13","0.17","0.09","-0.01","0.05","-0.08","0.07","0.05","0.14","0.2","1","TX"
