"SITE","TX","MO","MI","TRAITS"
"TX",1,0.239683295839134,0.169464367742786,"Al"
"MO",0.239683295839134,1,0.994436043930889,"Al"
"MI",0.169464367742786,0.994436043930889,1,"Al"
"TX",1,NA,NA,"As"
"MO",NA,1,NA,"As"
"MI",NA,NA,1,"As"
"TX",1,-0.455171056697398,NA,"B"
"MO",-0.455171056697398,1,NA,"B"
"MI",NA,NA,1,"B"
"TX",1,0.856728478765263,0.847557863021801,"Ca"
"MO",0.856728478765263,1,0.892784638770246,"Ca"
"MI",0.847557863021801,0.892784638770246,1,"Ca"
"TX",1,0.662464249447131,0.758373206812238,"Cd"
"MO",0.662464249447131,1,0.948755033266639,"Cd"
"MI",0.758373206812238,0.948755033266639,1,"Cd"
"TX",1,NA,NA,"Co"
"MO",NA,1,0.781142477120383,"Co"
"MI",NA,0.781142477120383,1,"Co"
"TX",1,0.59252193716274,0.73746908042691,"Cu"
"MO",0.59252193716274,1,0.53822019607849,"Cu"
"MI",0.73746908042691,0.53822019607849,1,"Cu"
"TX",1,0.900203895174492,0.555915693917328,"Fe"
"MO",0.900203895174492,1,0.998596020314528,"Fe"
"MI",0.555915693917328,0.998596020314528,1,"Fe"
"TX",1,NA,0.454417661876908,"K"
"MO",NA,1,NA,"K"
"MI",0.454417661876908,NA,1,"K"
"TX",1,0.682415462467196,0.603405437528489,"Mg"
"MO",0.682415462467196,1,0.755634859173645,"Mg"
"MI",0.603405437528489,0.755634859173645,1,"Mg"
"TX",1,0.649370313775513,0.61440985177802,"Mn"
"MO",0.649370313775513,1,0.665903088994446,"Mn"
"MI",0.61440985177802,0.665903088994446,1,"Mn"
"TX",1,0.528029118913185,0.77261323258741,"Mo"
"MO",0.528029118913185,1,0.921750659701187,"Mo"
"MI",0.77261323258741,0.921750659701187,1,"Mo"
"TX",1,0.910480698433392,0.751162681895425,"Na"
"MO",0.910480698433392,1,0.883915421138561,"Na"
"MI",0.751162681895425,0.883915421138561,1,"Na"
"TX",1,0.416156465401559,0.541675809344077,"P"
"MO",0.416156465401559,1,0.610492048466801,"P"
"MI",0.541675809344077,0.610492048466801,1,"P"
"TX",1,0.709656345467351,0.335849078433622,"Rb"
"MO",0.709656345467351,1,0.644877369138407,"Rb"
"MI",0.335849078433622,0.644877369138407,1,"Rb"
"TX",1,NA,NA,"Se"
"MO",NA,1,NA,"Se"
"MI",NA,NA,1,"Se"
"TX",1,0.663857481996784,0.745116832854707,"Sr"
"MO",0.663857481996784,1,0.861281125728591,"Sr"
"MI",0.745116832854707,0.861281125728591,1,"Sr"
"TX",1,0.63240747414445,0.668921339408943,"Zn"
"MO",0.63240747414445,1,0.699488147900894,"Zn"
"MI",0.668921339408943,0.699488147900894,1,"Zn"
