Overlap0,Group,single,overlap,,,,,,,,
Na,harmful,1,1,,,,,,2,4.277777778,
Al,harmful,0,4,,,,,,4,4.277777778,
Cd,harmful,0,2,,,expected,,,2,4.277777778,
As,harmful,0,0,,8,17.11111111,0.467532468,,0,4.277777778,
K,macronutrient,2,5,,,,,,7,4.277777778,
Mg,macronutrient,6,3,,,,,,9,4.277777778,2.103896104
P,macronutrient,6,8,,,,,,14,4.277777778,3.272727273
Ca,macronutrient,0,5,,35,17.11111111,2.045454545,,5,4.277777778,
Cu,micronutrient,2,3,,,,,,5,4.277777778,
Mn,micronutrient,1,4,,,,,,5,4.277777778,
Fe,micronutrient,0,2,,,,,,2,4.277777778,
Mo,micronutrient,0,2,,,,,,2,4.277777778,
Zn,micronutrient,0,3,,,,,,3,4.277777778,
B,micronutrient,0,0,,,,,,0,4.277777778,
Co,micronutrient,0,0,,,,,,0,4.277777778,
Se,micronutrient,0,0,,17,34.22222222,0.496753247,,0,4.277777778,
Rb,non-essential analogue,3,5,,,,,,8,4.277777778,1.87012987
Sr,non-essential analogue,2,7,,17,8.555555556,1.987012987,,9,4.277777778,2.103896104
