"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49013994,49014173,"Pavir.5NG058000","","","","","",""
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49031414,49035476,"Pavir.5NG058200","","AT1G80280","","alpha/beta-Hydrolases superfamily protein","LOC_Os01g45960","hydrolase, alpha/beta fold family domain containing protein, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49036073,49037151,"Pavir.5NG058300","","","","","",""
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49038440,49044306,"Pavir.5NG058400","","AT2G26650","AKT1,ATAKT1,KT1","K+ transporter 1","LOC_Os01g45990","potassium channel AKT1, putative, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49025620,49027595,"Pavir.5NG058440","GO:0046983","AT1G19260","","TTF-type zinc finger protein with HAT dimerisation domain","LOC_Os09g14530","hAT dimerisation domain-containing protein, putative"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49062488,49066007,"Pavir.5NG058600","GO:0005525","AT5G55190","ATRAN3,RAN3","RAN GTPase 3","LOC_Os05g49890","ras-related protein, putative, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49075997,49079965,"Pavir.5NG058700","GO:0006367,GO:0005669","AT1G55300","TAF7","TBP-associated factor 7","LOC_Os05g28010","TATA-binding protein-associated factor TAFII55 family protein, putative, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49088281,49089809,"Pavir.5NG059140","GO:0006468,GO:0005524,GO:0004672","AT4G32300","SD2-5","S-domain-2 5","LOC_Os01g46030","receptor-like protein kinase, putative, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49133484,49135548,"Pavir.5NG059200","GO:0008270,GO:0006355","AT4G38180","FRS5","FAR1-related sequence 5","LOC_Os02g33750","transposon protein, putative, unclassified, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49138219,49143223,"Pavir.5NG059300","GO:0005515","AT1G06230","GTE4","global transcription factor group E4","LOC_Os01g46040","bromodomain domain containing protein, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49132060,49133425,"Pavir.5NG059580","","AT5G56360","PSL4","calmodulin-binding protein","LOC_Os01g16970","glucosidase II beta subunit-like domain containing protein, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",49165401,49169013,"Pavir.5NG059740","","","","","LOC_Os10g07180","retrotransposon protein, putative, LINE subclass, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",53462611,53467522,"Pavir.5NG081300","GO:0016020,GO:0006886","AT1G26670","ATVTI12,VTI12,VTI1B","Vesicle transport v-SNARE family protein","LOC_Os01g51120","vesicle transport v-SNARE protein, putative, expressed"
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",53465841,53466020,"Pavir.5NG081740","","","","","",""
"Chr05N","5N@70.14",48894679,55871290,"Mg26","Chr05N",53425707,53429885,"Pavir.5NG104900","GO:0016787,GO:0008152","AT1G51760","IAR3,JR3","peptidase M20/M25/M40 family protein","LOC_Os01g51060","hydrolase, putative, expressed"
