"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG123900",64736895,64739505,"AT2G45120","","C2H2-like zinc finger protein","LOC_Os07g40780","ZOS7-11 - C2H2 zinc finger protein, expressed"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG124000",64731433,64735196,"AT4G34670","","Ribosomal protein S3Ae","LOC_Os03g10340","40S ribosomal protein S3a, putative, expressed"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG447700",67631826,67635368,"AT2G42730","","F-box family protein","LOC_Os07g45010","expressed protein"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG467800",63046232,63047123,"","","","LOC_Os07g38570","expressed protein"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG468000",65097112,65097450,"","","","",""
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG468020",65097454,65097915,"","","","",""
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475200",64955859,64957479,"","","","LOC_Os07g49050","expressed protein"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475220",64961976,64963016,"","","","",""
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475240",64969945,64984248,"AT3G29770","ATMES11,MES11","methyl esterase 11","LOC_Os07g41230","esterase, putative, expressed"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475260",64972651,64977326,"","","","",""
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475500",64986674,64990870,"AT1G74110","CYP78A10","cytochrome P450, family 78, subfamily A, polypeptide 10","LOC_Os07g41240","cytochrome P450, putative, expressed"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475520",64995644,64996918,"AT4G38180","FRS5","FAR1-related sequence 5","LOC_Os02g25470","transposon protein, putative, unclassified, expressed"
"Chr02N","2N@85.72",60108400,69397197,"Cd111","Pavir.2NG475540",64996919,64998576,"","","","",""
