"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11247174,11251736,"Pavir.1KG049900","GO:0003677","AT3G18380","","sequence-specific DNA binding transcription factors;sequence-specific DNA binding","LOC_Os06g29020","retrotransposon protein, putative, unclassified, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11231228,11232653,"Pavir.1KG050100","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11229412,11230617,"Pavir.1KG050200","","AT5G56550","ATOXS3,OXS3","oxidative stress 3","LOC_Os02g13370","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11279683,11280150,"Pavir.1KG050277","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11221931,11229232,"Pavir.1KG050300","GO:0006364,GO:0004222","AT2G25870","","haloacid dehalogenase-like hydrolase family protein","LOC_Os02g13360","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11217335,11221943,"Pavir.1KG050400","","AT1G51965","ABO5","ABA Overly-Sensitive 5","LOC_Os02g13340","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11243956,11246021,"Pavir.1KG050477","GO:0008270,GO:0005515","AT4G09110","","RING/U-box superfamily protein","LOC_Os06g34400","zinc finger, C3HC4 type domain containing protein, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11196339,11199178,"Pavir.1KG050600","GO:0006355,GO:0003677","AT4G32980","ATH1","homeobox gene 1","LOC_Os02g13310","homeobox domain containing protein, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11280354,11284038,"Pavir.1KG050654","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11226290,11226613,"Pavir.1KG050677","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11199537,11200308,"Pavir.1KG050977","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",11205989,11207241,"Pavir.1KG051354","","AT2G26040","PYL2,RCAR14","PYR1-like 2","LOC_Os02g13330","bet v I allergen family protein, putative, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7281091,7283917,"Pavir.1KG094100","","AT1G80060","","Ubiquitin-like superfamily protein","LOC_Os02g09530","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7288168,7289185,"Pavir.1KG094300","","","","","LOC_Os02g09540","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7280257,7281156,"Pavir.1KG094377","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7289983,7291839,"Pavir.1KG094400","GO:0006412,GO:0005840,GO:0003735","AT3G27160","GHS1","Ribosomal protein S21 family protein","LOC_Os02g09590","ribosome, putative, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7296273,7297119,"Pavir.1KG094600","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7299423,7301033,"Pavir.1KG094900","GO:0016592,GO:0006357,GO:0001104","AT3G01435","","Expressed protein","LOC_Os02g09600","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7302092,7303822,"Pavir.1KG095000","","","","","LOC_Os03g46510","OsFBX103 - F-box domain containing protein, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7306276,7307899,"Pavir.1KG095100","GO:0016788","AT2G04570","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os02g09610","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7329699,7332146,"Pavir.1KG095400","","AT5G45480","","Protein of unknown function (DUF594)","LOC_Os07g17050","retrotransposon protein, putative, unclassified, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7310378,7312439,"Pavir.1KG095477","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7352582,7354156,"Pavir.1KG095500","GO:0016747","AT5G39080","","HXXXD-type acyl-transferase family protein","LOC_Os06g05320","transferase family protein, putative, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7363455,7364311,"Pavir.1KG095600","","AT1G76600","","","LOC_Os02g09980","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7375176,7377126,"Pavir.1KG095700","GO:0006468,GO:0005524,GO:0004672","AT2G33580","","Protein kinase superfamily protein","LOC_Os02g09960","LYK8, putative, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7384363,7385486,"Pavir.1KG095800","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7320860,7325249,"Pavir.1KG095854","","AT5G45480","","Protein of unknown function (DUF594)","LOC_Os10g10480","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7418548,7427182,"Pavir.1KG096000","","AT2G42990","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os06g43044","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7386074,7387161,"Pavir.1KG096177","","","","","",""
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7427211,7430866,"Pavir.1KG096377","","","","","LOC_Os06g13750","expressed protein"
"Chr01K","1K@23.9",7278337,15256675,"K39","Chr01K",7431829,7436101,"Pavir.1KG096400","","","","","LOC_Os02g09630","GA20292-PA, putative, expressed"
