"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5459184,5463206,"Pavir.3KG076200","","AT5G14310","AtCXE16,CXE16","carboxyesterase 16","LOC_Os12g15400","CXE carboxylesterase, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5463911,5469832,"Pavir.3KG076227","","AT1G80930","","MIF4G domain-containing protein / MA3 domain-containing protein","LOC_Os12g15420","nucampholin, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5487903,5489294,"Pavir.3KG076254","","AT1G65870","","Disease resistance-responsive (dirigent-like protein) family protein","LOC_Os10g18870","dirigent, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5489681,5492483,"Pavir.3KG076281","","AT4G18750","DOT4","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os12g15460","pentatricopeptide, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5500976,5505082,"Pavir.3KG076308","GO:0055114,GO:0016616,GO:0006694,GO:0003854","AT1G78570","ATRHM1,RHM1,ROL1","rhamnose biosynthesis 1","LOC_Os03g17000","NAD dependent epimerase/dehydratase family domain containing protein, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5506303,5509059,"Pavir.3KG076400","","AT5G20165","","","",""
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5513118,5517470,"Pavir.3KG076500","GO:0005515","AT4G24020","NLP7","NIN like protein 7","LOC_Os01g13540","NIN, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5518343,5519655,"Pavir.3KG076600","","AT1G03700","","Uncharacterised protein family (UPF0497)","LOC_Os05g15630","membrane associated DUF588 domain containing protein, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5521268,5523456,"Pavir.3KG076700","GO:0008152,GO:0003824","AT5G57850","","D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein","LOC_Os05g15530","aminotransferase domain containing protein, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5526824,5530520,"Pavir.3KG076900","GO:0005975,GO:0004553,GO:0051015,GO:0007015","","","","LOC_Os05g15510","cellulase, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5549209,5552177,"Pavir.3KG077000","","AT4G19400","","Profilin family protein","LOC_Os05g15180","expressed protein"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5549928,5550800,"Pavir.3KG077027","","","","","",""
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5554600,5555368,"Pavir.3KG077100","GO:0008270,GO:0005515","AT4G40070","","RING/U-box superfamily protein","LOC_Os05g15170","zinc finger, C3HC4 type domain containing protein, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5559813,5565747,"Pavir.3KG077200","","AT5G46110","APE2,TPT","Glucose-6-phosphate/phosphate translocator-related","LOC_Os05g15160","phosphate/phosphate translocator, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5566502,5571083,"Pavir.3KG077300","GO:0006418,GO:0000166,GO:0005524,GO:0004812","AT1G09620","","ATP binding;leucine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases","LOC_Os09g32650","leucyl-tRNA synthetase, cytoplasmic, putative, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5573534,5575271,"Pavir.3KG077400","GO:0005515","AT2G40910","","F-box and associated interaction domains-containing protein","LOC_Os07g35050","OsFBX237 - F-box domain containing protein, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5583219,5586849,"Pavir.3KG077700","GO:0046983","AT1G01260","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os01g13460","helix-loop-helix DNA-binding domain containing protein, expressed"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5587826,5593253,"Pavir.3KG077800","","AT5G11390","WIT1","WPP domain-interacting protein 1","LOC_Os05g15140","expressed protein"
"Chr03K","3K@26.18",5431132,12516769,"P31","Chr03K",5609886,5612040,"Pavir.3KG077900","","AT5G40780","LHT1","lysine histidine transporter 1","LOC_Os08g03350","amino acid transporter, putative, expressed"
