"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5568574,5574726,"Pavir.9KG012900","","AT5G43490","","","LOC_Os03g63040","expressed protein"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5564348,5565521,"Pavir.9KG013000","","AT5G16490","RIC4","ROP-interactive CRIB motif-containing protein 4","LOC_Os03g63060","P21-Rho-binding domain containing protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5577575,5580599,"Pavir.9KG013041","GO:0006468,GO:0005524,GO:0004672","AT4G13020","MHK","Protein kinase superfamily protein","LOC_Os03g63020","protein kinase domain containing protein, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5559523,5562798,"Pavir.9KG013100","GO:0030170,GO:0009058,GO:0003824","","","","LOC_Os03g63074","Ser/Thr protein phosphatase family protein, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5566523,5567385,"Pavir.9KG013141","","","","","",""
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5591508,5595876,"Pavir.9KG013182","GO:0005515,GO:0006468,GO:0004672","AT4G39270","","Leucine-rich repeat protein kinase family protein","LOC_Os03g56250","LRR receptor-like protein kinase, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5529858,5532142,"Pavir.9KG013200","GO:0016787","AT3G07130","ATPAP15,PAP15","purple acid phosphatase 15","LOC_Os03g63074","Ser/Thr protein phosphatase family protein, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5527732,5528434,"Pavir.9KG013300","GO:0006413,GO:0003743,GO:0003723","AT2G04520","","Nucleic acid-binding, OB-fold-like protein","LOC_Os06g23440","eukaryotic translation initiation factor 1A, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5597078,5600086,"Pavir.9KG013323","GO:0033588","AT3G11220","ELO1","Paxneb protein-related","LOC_Os06g43280","paxneb-related protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5600425,5600857,"Pavir.9KG013464","GO:0006412,GO:0005840,GO:0005622,GO:0003735","AT3G43980","","Ribosomal protein S14p/S29e family protein","LOC_Os12g32380","40S ribosomal protein S29, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5602809,5603385,"Pavir.9KG013605","","","","","",""
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5610544,5612294,"Pavir.9KG013746","","AT1G10020","","Protein of unknown function (DUF1005)","LOC_Os03g56220","stress-induced protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5618441,5620106,"Pavir.9KG013887","","AT2G22795","","","LOC_Os03g56200","expressed protein"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5620133,5622641,"Pavir.9KG014028","GO:0005751,GO:0005743,GO:0004129","AT4G37830","","cytochrome c oxidase-related","LOC_Os03g56190","cytochrome c oxidase-related, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5623270,5626261,"Pavir.9KG014169","GO:0006468,GO:0005524,GO:0004672,GO:0030246","AT3G53810","","Concanavalin A-like lectin protein kinase family protein","LOC_Os04g44910","receptor like protein kinase, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5638910,5644031,"Pavir.9KG014310","GO:0003677,GO:0006355,GO:0005634","AT4G08150","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os07g03770","Homeobox domain containing protein, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5655789,5657370,"Pavir.9KG014451","","AT5G57620","AtMYB36,MYB36","myb domain protein 36","LOC_Os03g56090","MYB family transcription factor, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5686614,5689595,"Pavir.9KG014592","","AT4G17000","","","LOC_Os03g56070","expressed protein"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5700059,5704897,"Pavir.9KG014733","","AT4G07960","ATCSLC12,CSLC12","Cellulose-synthase-like C12","LOC_Os07g03260","CSLC10 - cellulose synthase-like family C, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5710879,5715007,"Pavir.9KG014874","GO:0006355,GO:0003700,GO:0007275","AT4G37750","ANT,CKC,CKC1,DRG","Integrase-type DNA-binding superfamily protein","LOC_Os03g56050","AP2-like ethylene-responsive transcription factor AINTEGUMENTA, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5787350,5789700,"Pavir.9KG015015","GO:0003676","AT5G55550","","RNA-binding (RRM/RBD/RNP motifs) family protein","LOC_Os07g03240","RNA recognition motif containing protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5789975,5793308,"Pavir.9KG015156","GO:0006556,GO:0004478,GO:0005524","AT1G02500","AtSAM1,MAT1,SAM-1,SAM1","S-adenosylmethionine synthetase 1","LOC_Os05g04510","S-adenosylmethionine synthetase, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5798783,5800036,"Pavir.9KG015297","GO:0043565,GO:0006355,GO:0003700","AT2G22850","AtbZIP6,bZIP6","basic leucine-zipper 6","LOC_Os03g56010","bZIP transcription factor domain containing protein, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5831622,5835122,"Pavir.9KG015438","","AT1G10150","","Carbohydrate-binding protein","LOC_Os03g56000","PHLOEM 2-LIKE A10, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5841405,5842132,"Pavir.9KG015579","","AT1G10140","","Uncharacterised conserved protein UCP031279","LOC_Os03g55980","expressed protein"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5844759,5849174,"Pavir.9KG015720","","AT1G49380","","cytochrome c biogenesis protein family","LOC_Os03g55970","uncharacterized protein ycf44, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5849251,5849787,"Pavir.9KG015861","","AT3G50770","CML41","calmodulin-like 41","LOC_Os03g55960","EF hand family protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5850295,5854108,"Pavir.9KG016002","","AT3G50780","","","LOC_Os03g55950","H-BTB1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5859418,5861970,"Pavir.9KG016143","GO:0006412,GO:0005840,GO:0003735","AT1G74970","RPS9,TWN3","ribosomal protein S9","LOC_Os03g55930","ribosomal protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5862389,5871768,"Pavir.9KG016284","","AT5G42660","","Protein of unknown function (DUF616)","LOC_Os03g55920","hydrolase, acting on carbon-nitrogen, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5883148,5884046,"Pavir.9KG016425","","","","","",""
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5886596,5891096,"Pavir.9KG016566","","AT2G23700","","Protein of unknown function, DUF547","LOC_Os03g55890","ternary complex factor MIP1, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5895888,5896274,"Pavir.9KG016707","","","","","",""
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5903938,5904875,"Pavir.9KG016848","","AT1G76600","","","LOC_Os03g55880","expressed protein"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5913977,5915100,"Pavir.9KG016989","","AT3G50810","","Uncharacterised protein family (UPF0497)","LOC_Os03g55870","membrane associated DUF588 domain containing protein, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5915724,5918385,"Pavir.9KG017130","","AT3G50830","ATCOR413-PM2,COR413-PM2","cold-regulated 413-plasma membrane 2","LOC_Os03g55850","cold acclimation protein WCOR413, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5930469,5932147,"Pavir.9KG017271","","AT2G20370","KAM1,MUR3","Exostosin family protein","LOC_Os03g05060","exostosin family domain containing protein, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5946531,5948405,"Pavir.9KG017412","","AT1G47580","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os03g55840","pentatricopeptide, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5947643,5950541,"Pavir.9KG017553","GO:0005515","AT5G66560","","Phototropic-responsive NPH3 family protein","LOC_Os03g55830","BTBN10 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5964137,5967703,"Pavir.9KG017694","GO:0045454,GO:0015035,GO:0006662","AT4G37200","HCF164","Thioredoxin superfamily protein","LOC_Os03g55820","thioredoxin, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5969463,5971378,"Pavir.9KG017835","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT5G42650","AOS,CYP74A,DDE2","allene oxide synthase","LOC_Os03g55800","cytochrome P450, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5973538,5977762,"Pavir.9KG017976","","AT3G18940","","clast3-related","LOC_Os03g55784","tumor necrosis factor superfamily, member 5-induced protein 1, putative, expressed"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5985504,5986084,"Pavir.9KG018117","","","","","LOC_Os03g55776","expressed protein"
"Chr09K","9K@20.05",1411669,7768468,"Ca44","Chr09K",5986574,5987832,"Pavir.9KG018258","","","","","LOC_Os03g55770","expressed protein"
