"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15685695,15689926,"Pavir.9NG173900","GO:0046983","AT2G43010","PIF4,SRL2","phytochrome interacting factor 4","LOC_Os03g43810","helix-loop-helix DNA-binding domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15712599,15713643,"Pavir.9NG174100","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15738948,15740468,"Pavir.9NG174300","GO:0005515","AT3G48880","","RNI-like superfamily protein","LOC_Os03g43770","OsFBX97 - F-box domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15743651,15748677,"Pavir.9NG174400","","AT3G22750","","Protein kinase superfamily protein","LOC_Os03g43760","protein kinase domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15750833,15764466,"Pavir.9NG174500","","AT4G14770","ATTCX2,TCX2","TESMIN/TSO1-like CXC 2","LOC_Os12g41230","tesmin/TSO1-like CXC domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15764962,15771660,"Pavir.9NG174600","GO:0055085,GO:0016021","AT3G13050","","Major facilitator superfamily protein","LOC_Os03g43720","transporter family protein, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15772419,15773511,"Pavir.9NG174673","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15776866,15782021,"Pavir.9NG174746","GO:0055085,GO:0022857,GO:0016021","AT3G13050","","Major facilitator superfamily protein","LOC_Os03g43720","transporter family protein, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15789112,15789559,"Pavir.9NG174819","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15802362,15812795,"Pavir.9NG174892","","AT3G22790","","Kinase interacting (KIP1-like) family protein","LOC_Os03g43684","KIP1, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15056714,15064230,"Pavir.9NG183600","GO:0005515","AT3G22190","IQD5","IQ-domain 5","LOC_Os03g44610","IQ calmodulin-binding motif domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15068591,15069688,"Pavir.9NG183800","GO:0016020,GO:0008375","AT3G52060","","Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein","LOC_Os03g44580","DNA binding protein, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15089201,15093994,"Pavir.9NG183900","","AT3G44150","","","LOC_Os03g44560","expp1 protein precursor, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15105049,15110083,"Pavir.9NG184100","GO:0006355,GO:0003700","AT5G06510","NF-YA10","nuclear factor Y, subunit A10","LOC_Os03g44540","nuclear transcription factor Y subunit, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15110184,15112978,"Pavir.9NG184200","","AT1G14060","","GCK domain-containing protein","LOC_Os03g44520","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15113483,15116187,"Pavir.9NG184300","GO:0007275,GO:0006511,GO:0005634","AT5G37870","","Protein with RING/U-box and TRAF-like domains","LOC_Os01g03410","ubiquitin, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15121054,15130018,"Pavir.9NG184400","GO:0005515,GO:0016787","AT2G27210","BSL3","BRI1 suppressor 1 (BSU1)-like 3","LOC_Os12g42310","serine/threonine-protein phosphatase BSL2, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15132994,15134135,"Pavir.9NG184600","GO:0006468,GO:0004672","AT5G63370","","Protein kinase superfamily protein","LOC_Os09g27350","RIO1 family protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15134963,15148117,"Pavir.9NG184700","GO:0006351,GO:0003899,GO:0003677,GO:0032549","AT4G21710","EMB1989,NRPB2,RPB2","DNA-directed RNA polymerase family protein","LOC_Os03g44484","DNA-directed RNA polymerase II subunit RPB2, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15151267,15156578,"Pavir.9NG184800","GO:0044237","AT5G38640","","NagB/RpiA/CoA transferase-like superfamily protein","LOC_Os03g44310","initiation factor 2 subunit family domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15188028,15188414,"Pavir.9NG184900","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15194627,15195432,"Pavir.9NG184973","","AT2G26110","","Protein of unknown function (DUF761)","LOC_Os06g37020","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15200089,15202907,"Pavir.9NG185200","","AT1G78390","ATNCED9,NCED9","nine-cis-epoxycarotenoid dioxygenase 9","LOC_Os03g44380","9-cis-epoxycarotenoid dioxygenase 1, chloroplast precursor, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15219864,15221467,"Pavir.9NG185300","","AT1G71850","","Ubiquitin carboxyl-terminal hydrolase family protein","LOC_Os03g44430","ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15221588,15224439,"Pavir.9NG185400","GO:0055085,GO:0016020,GO:0006811,GO:0005216","AT4G30560","ATCNGC9,CNGC9","cyclic nucleotide gated channel 9","LOC_Os03g44440","cyclic nucleotide-gated ion channel, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15224470,15240450,"Pavir.9NG185500","GO:0008152,GO:0003824","AT2G34590","","Transketolase family protein","LOC_Os03g44300","transketolase, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15256817,15257563,"Pavir.9NG185573","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15258255,15258533,"Pavir.9NG185646","","AT1G65680","ATEXPB2,ATHEXP BETA 1.4,EXPB2","expansin B2","LOC_Os03g44290","expansin precursor, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15258837,15259499,"Pavir.9NG185719","","AT1G65680","ATEXPB2,ATHEXP BETA 1.4,EXPB2","expansin B2","LOC_Os05g15690","expansin precursor, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15260691,15262429,"Pavir.9NG185792","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15263386,15266475,"Pavir.9NG185800","","AT2G45110","ATEXPB4,ATHEXP BETA 1.1,EXPB4","expansin B4","LOC_Os03g44290","expansin precursor, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15268069,15269463,"Pavir.9NG185900","GO:0005515","AT2G42800","AtRLP29,RLP29","receptor like protein 29","LOC_Os01g52880","leucine-rich repeat family protein, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15282230,15283385,"Pavir.9NG186000","","AT2G34610","","","LOC_Os12g42220","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15285372,15287020,"Pavir.9NG186100","GO:0005515","AT1G78380","ATGSTU19,GST8,GSTU19","glutathione S-transferase TAU 19","LOC_Os03g44170","glutathione S-transferase, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15291104,15295864,"Pavir.9NG186300","GO:0030170,GO:0008483","AT5G46180","DELTA-OAT","ornithine-delta-aminotransferase","LOC_Os03g44150","aminotransferase, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15296580,15297888,"Pavir.9NG186400","","AT5G06280","","","LOC_Os12g42170","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15303046,15305384,"Pavir.9NG186500","","AT1G30300","","Metallo-hydrolase/oxidoreductase superfamily protein","LOC_Os03g44140","OsWAK26 - OsWAK receptor-like protein kinase, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15319526,15321301,"Pavir.9NG186800","GO:0006468,GO:0004672,GO:0005524","AT2G34650","ABR,PID","Protein kinase superfamily protein","LOC_Os03g44020","AGC_PVPK_like_kin82y.9 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15329018,15329464,"Pavir.9NG186873","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15333852,15339451,"Pavir.9NG187100","","AT5G12230","MED19A","","LOC_Os03g44010","nucleolar protein NOP5, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15370368,15376293,"Pavir.9NG187400","GO:0006334,GO:0005634,GO:0003677,GO:0000786","AT1G49950","ATTRB1,TRB1","telomere repeat binding factor 1","LOC_Os12g41920","single myb histone, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15377068,15377487,"Pavir.9NG187473","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15381914,15389286,"Pavir.9NG187700","GO:0005515","AT1G30440","","Phototropic-responsive NPH3 family protein","LOC_Os03g43990","BTBN8 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15393182,15397715,"Pavir.9NG187800","GO:0016020,GO:0015171,GO:0003333","AT4G21120","AAT1,CAT1","amino acid transporter 1","LOC_Os12g41890","amino acid permease family protein, putative, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15403791,15411407,"Pavir.9NG187900","GO:0005515","AT4G05410","YAO","Transducin/WD40 repeat-like superfamily protein","LOC_Os03g42770","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15413243,15417236,"Pavir.9NG188100","","","","","LOC_Os12g36000","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15426652,15429422,"Pavir.9NG188200","","AT5G41220","ATGSTT3,GST10C,GSTT3","glutathione S-transferase THETA 3","LOC_Os08g35920","transposon protein, putative, Pong sub-class, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15449573,15455194,"Pavir.9NG188400","GO:0003677,GO:0008289","AT1G30490","ATHB9,PHV","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein","LOC_Os03g43930","START domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15459455,15460385,"Pavir.9NG188473","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15466037,15469639,"Pavir.9NG188600","","AT3G29130","","","LOC_Os03g43910","expressed protein"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15469847,15471364,"Pavir.9NG188700","","","","","",""
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15474735,15475325,"Pavir.9NG188773","","","","","LOC_Os01g45650","OsFBX19 - F-box domain containing protein, expressed"
"Chr09N","9N@34.17",15052555,20831824,"K39","Chr09N",15478182,15482980,"Pavir.9NG188800","","","","","",""
