"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26240726,26246923,"Pavir.5NG224200","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26419083,26419705,"Pavir.5NG224281","","","","","LOC_Os10g31360","GRF zinc finger family protein, expressed"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25545822,25549952,"Pavir.5NG224300","","","","","LOC_Os01g27600","expressed protein"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26424182,26425434,"Pavir.5NG224362","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25562153,25568291,"Pavir.5NG224381","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26431432,26443768,"Pavir.5NG224443","","AT3G22880","ARLIM15,ATDMC1,DMC1","DNA repair (Rad51) family protein","LOC_Os11g04954","DNA repair protein Rad51, putative, expressed"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25574225,25576400,"Pavir.5NG224462","","AT5G45530","","Protein of unknown function (DUF594)","LOC_Os01g27600","expressed protein"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26453592,26454214,"Pavir.5NG224524","","","","","LOC_Os10g31360","GRF zinc finger family protein, expressed"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25588137,25588316,"Pavir.5NG224543","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26456191,26457034,"Pavir.5NG224605","","","","","LOC_Os03g16718","expressed protein"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25594223,25600302,"Pavir.5NG224624","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26458868,26459154,"Pavir.5NG224686","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25639021,25642925,"Pavir.5NG224705","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26459155,26459800,"Pavir.5NG224767","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26470899,26474969,"Pavir.5NG224848","","","","","LOC_Os07g25900","expressed protein"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",26477184,26480866,"Pavir.5NG224929","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25120925,25121632,"Pavir.5NG226600","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",25097831,25099084,"Pavir.5NG226700","GO:0005515","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g27360","glutathione S-transferase, putative, expressed"
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",27902044,27903255,"Pavir.5NG229100","","","","","",""
"Chr05N","5N@47.97",24852745,29584640,"Na23","Chr05N",27986895,27991237,"Pavir.5NG229181","","","","","",""
