"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15024194,15025188,"Pavir.2NG020700","","","","","",""
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15030396,15031835,"Pavir.2NG020800","","","","","",""
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15103791,15107505,"Pavir.2NG021400","","AT4G15610","","Uncharacterised protein family (UPF0497)","LOC_Os07g26110","membrane associated DUF588 domain containing protein, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15121587,15123059,"Pavir.2NG021500","","","","","",""
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15128248,15129515,"Pavir.2NG021600","","AT1G05210","","Transmembrane protein 97, predicted","LOC_Os07g27450","expressed protein"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15150879,15151464,"Pavir.2NG021800","","AT2G32380","","Transmembrane protein 97, predicted","LOC_Os03g44450","expressed protein"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",15185141,15186995,"Pavir.2NG022200","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT5G25120","CYP71B11","ytochrome p450, family 71, subfamily B, polypeptide 11","LOC_Os04g10160","cytochrome P450, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9151105,9152821,"Pavir.2NG094700","GO:0005515","AT4G12560","CPR30","F-box and associated interaction domains-containing protein","LOC_Os07g13890","OsFBX230 - F-box domain containing protein, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9155688,9157273,"Pavir.2NG094800","GO:0005515","AT3G07870","","F-box and associated interaction domains-containing protein","LOC_Os07g13890","OsFBX230 - F-box domain containing protein, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9158006,9160139,"Pavir.2NG094900","","AT2G29760","OTP81","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os07g15640","CRR4, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9162707,9163057,"Pavir.2NG095100","","","","","",""
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9166640,9170936,"Pavir.2NG095200","","AT2G13690","","PRLI-interacting factor, putative","LOC_Os07g15600","H-BTB6 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9269380,9270320,"Pavir.2NG095600","","","","","",""
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9383583,9386906,"Pavir.2NG095700","GO:0055114,GO:0048038,GO:0009308,GO:0008131,GO:0005507","AT1G31690","","Copper amine oxidase family protein","LOC_Os06g23114","copper methylamine oxidase precursor, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9233783,9235189,"Pavir.2NG095746","","","","","",""
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9359205,9362596,"Pavir.2NG096146","GO:0055114,GO:0048038,GO:0009308,GO:0008131,GO:0005507","AT1G31710","","Copper amine oxidase family protein","LOC_Os06g23114","copper methylamine oxidase precursor, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9475372,9476170,"Pavir.2NG096246","","","","","LOC_Os11g05710","expressed protein"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9531162,9533969,"Pavir.2NG096300","","AT1G48580","","","LOC_Os07g15500","expressed protein"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9539830,9543028,"Pavir.2NG096400","GO:0005515","AT4G08455","","BTB/POZ domain-containing protein","LOC_Os07g15490","C2-BTB1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with C2 subfamily conserved sequence, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9546524,9548335,"Pavir.2NG096600","GO:0030117,GO:0016192,GO:0006886,GO:0005737","AT4G31490","","Coatomer, beta subunit","LOC_Os11g07280","coatomer subunit beta-1, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9479649,9481223,"Pavir.2NG096792","","AT4G29090","","Ribonuclease H-like superfamily protein","LOC_Os12g04570","expressed protein"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9613570,9618675,"Pavir.2NG096800","GO:0016020,GO:0006810,GO:0005215","AT1G80830","ATNRAMP1,NRAMP1,PMIT1","natural resistance-associated macrophage protein 1","LOC_Os07g15370","metal transporter Nramp6, putative, expressed"
"Chr02N","2N@31.96",9138421,19748692,"Sr88","Chr02N",9853970,9855051,"Pavir.2NG096900","","","","","LOC_Os07g09270","expressed protein"
