"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",48884792,48887739,"Pavir.5KG050900","","AT3G58110","","","LOC_Os01g55120","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",48893400,48896492,"Pavir.5KG051000","GO:0043565,GO:0006355,GO:0003700","AT2G42380","ATBZIP34,BZIP34","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os01g55150","bZIP transcription factor domain containing protein, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",49537911,49541494,"Pavir.5KG127600","GO:0016811","AT4G37560","","Acetamidase/Formamidase family protein","LOC_Os01g55950","acetamidase, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",49542635,49542803,"Pavir.5KG127607","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",42394237,42397449,"Pavir.5KG131500","","AT4G19003","VPS25","E2F/DP family winged-helix DNA-binding domain","LOC_Os01g46932","vacuolar protein-sorting-associated protein 25, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",47328458,47330530,"Pavir.5KG269000","","AT2G31490","","","LOC_Os01g53140","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",47358442,47358932,"Pavir.5KG269007","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",44554867,44556997,"Pavir.5KG297100","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38637776,38639158,"Pavir.5KG374700","GO:0019843,GO:0006412,GO:0005840,GO:0003735","AT2G18400","","ribosomal protein L6 family protein","LOC_Os03g51510","ribosomal protein L6, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38634795,38637544,"Pavir.5KG374800","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38625665,38627222,"Pavir.5KG375100","","AT3G02430","","Protein of unknown function (DUF679)","LOC_Os07g22510","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40481579,40483620,"Pavir.5KG380100","GO:0005515","AT2G21530","","SMAD/FHA domain-containing protein ","LOC_Os12g03070","FHA domain containing protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40537208,40540694,"Pavir.5KG380107","","AT3G13410","","","LOC_Os11g03380","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40543714,40546963,"Pavir.5KG380114","GO:0043531","AT3G14470","","NB-ARC domain-containing disease resistance protein","LOC_Os12g03080","rp3 protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40553307,40558397,"Pavir.5KG380121","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40574242,40574673,"Pavir.5KG380128","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40614227,40619780,"Pavir.5KG380135","","AT3G13410","","","LOC_Os11g03380","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40642724,40644773,"Pavir.5KG380142","GO:0005515","AT2G21530","","SMAD/FHA domain-containing protein ","LOC_Os12g03070","FHA domain containing protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40644767,40645508,"Pavir.5KG380149","","","","","LOC_Os11g03380","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40649363,40660386,"Pavir.5KG380156","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40676893,40677729,"Pavir.5KG380163","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40678072,40682187,"Pavir.5KG380170","","AT3G13410","","","LOC_Os11g03380","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40684423,40687358,"Pavir.5KG380177","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43710","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40743243,40749806,"Pavir.5KG380184","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43750","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40751959,40756953,"Pavir.5KG380191","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14680","CYP72A14","cytochrome P450, family 72, subfamily A, polypeptide 14","LOC_Os01g43740","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40471506,40478859,"Pavir.5KG380300","GO:0043531","AT3G14460","","LRR and NB-ARC domains-containing disease resistance protein","LOC_Os05g23990","rp3 protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40460885,40464459,"Pavir.5KG380400","","AT3G13410","","","LOC_Os11g03380","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40465966,40467843,"Pavir.5KG380407","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40423419,40427927,"Pavir.5KG380700","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43710","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40437082,40438642,"Pavir.5KG380707","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40408642,40411773,"Pavir.5KG380900","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43710","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40387625,40399012,"Pavir.5KG381100","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14680","CYP72A14","cytochrome P450, family 72, subfamily A, polypeptide 14","LOC_Os01g43710","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40400190,40400717,"Pavir.5KG381107","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40401545,40401949,"Pavir.5KG381114","","","","","LOC_Os11g05710","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40403732,40404483,"Pavir.5KG381121","","AT1G43760","","DNAse I-like superfamily protein","LOC_Os09g28370","retrotransposon protein, putative, unclassified, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40375496,40387156,"Pavir.5KG381200","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43710","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40350308,40351051,"Pavir.5KG381600","","AT1G29950","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os01g43680","CPuORF29 - conserved peptide uORF-containing transcript, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40799449,40800779,"Pavir.5KG381700","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40817300,40818541,"Pavir.5KG381707","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14680","CYP72A14","cytochrome P450, family 72, subfamily A, polypeptide 14","LOC_Os01g43774","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40825013,40828089,"Pavir.5KG381714","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43844","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40794084,40798741,"Pavir.5KG381800","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43750","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40762711,40764807,"Pavir.5KG381900","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43750","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40770534,40772776,"Pavir.5KG381907","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43750","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40788109,40790717,"Pavir.5KG381914","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14690","CYP72A15","cytochrome P450, family 72, subfamily A, polypeptide 15","LOC_Os01g43750","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40359009,40361413,"Pavir.5KG382300","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G14660","CYP72A13","cytochrome P450, family 72, subfamily A, polypeptide 13","LOC_Os01g43700","cytochrome P450 72A1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40351302,40351900,"Pavir.5KG382400","","AT1G29951","CPuORF35","conserved peptide upstream open reading frame 35","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40313441,40317134,"Pavir.5KG382700","GO:0043565,GO:0006355,GO:0003700","AT2G47260","ATWRKY23,WRKY23","WRKY DNA-binding protein 23","LOC_Os01g43650","WRKY11, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40301399,40301998,"Pavir.5KG383100","GO:0030150,GO:0005742","AT5G41685","","Mitochondrial outer membrane translocase complex, subunit Tom7","LOC_Os05g50654","mitochondrial import receptor subunit TOM7-1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40293372,40301050,"Pavir.5KG383200","GO:0030131,GO:0016192,GO:0006886","AT5G11490","","adaptin family protein","LOC_Os01g43630","adaptin, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40273916,40276401,"Pavir.5KG383600","","AT5G61000","ATRPA70D,RPA70D","Replication factor-A protein 1-related","LOC_Os03g08400","retrotransposon protein, putative, unclassified, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40264325,40266012,"Pavir.5KG383700","","AT2G18500","ATOFP7,OFP7","ovate family protein 7","LOC_Os01g43610","DUF623 domain containing protein, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",40258697,40260593,"Pavir.5KG383800","GO:0043565,GO:0006355,GO:0005634,GO:0003700","AT3G24520","AT-HSFC1,HSFC1","heat shock transcription factor  C1","LOC_Os01g43590","HSF-type DNA-binding domain containing protein, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38390972,38392509,"Pavir.5KG388600","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38393237,38395229,"Pavir.5KG388700","GO:0005524","AT3G50930","BCS1","cytochrome BC1 synthesis","LOC_Os01g42030","mitochondrial chaperone BCS1, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38394144,38397216,"Pavir.5KG388800","GO:0008270","AT1G68730","","Zim17-type zinc finger protein","LOC_Os01g42050","DNL zinc finger domain containing protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38397295,38405672,"Pavir.5KG388900","","AT3G24515","UBC37","ubiquitin-conjugating enzyme 37","LOC_Os01g42040","ubiquitin-conjugating enzyme, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38401036,38401431,"Pavir.5KG388907","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38407022,38411065,"Pavir.5KG389200","","AT5G16020","GEX3","gamete-expressed 3","LOC_Os01g42060","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38411266,38413374,"Pavir.5KG389300","","","","","LOC_Os01g41950","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38415541,38419643,"Pavir.5KG389500","GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871","AT1G18550","","ATP binding microtubule motor family protein","LOC_Os01g42070","kinesin motor domain containing protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38421452,38426176,"Pavir.5KG389600","GO:0008270,GO:0005634","AT1G48950","","C3HC zinc finger-like ","LOC_Os01g42080","zinc ion binding protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38433524,38436886,"Pavir.5KG389800","","AT3G28007","","Nodulin MtN3 family protein","LOC_Os01g42090","nodulin MtN3 family protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38438802,38440947,"Pavir.5KG389900","","AT1G14990","","","LOC_Os01g42120","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38442937,38444009,"Pavir.5KG390100","","AT1G49000","","","LOC_Os01g42130","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38451909,38452697,"Pavir.5KG390300","","AT1G14990","","","LOC_Os01g42120","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38470683,38472275,"Pavir.5KG390307","","","","","LOC_Os02g35820","retrotransposon protein, putative, unclassified, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38475072,38476543,"Pavir.5KG390500","","AT3G49601","","","LOC_Os11g07070","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38478734,38480058,"Pavir.5KG390507","","AT2G01410","","NHL domain-containing protein","LOC_Os01g42140","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38483295,38485138,"Pavir.5KG390514","","","","","LOC_Os01g35960","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38489230,38491486,"Pavir.5KG390521","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38497868,38502815,"Pavir.5KG390528","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38502628,38504395,"Pavir.5KG390900","","AT1G71000","","Chaperone DnaJ-domain superfamily protein","LOC_Os01g42190","heat shock protein DnaJ, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38506451,38507145,"Pavir.5KG391000","","","","","LOC_Os01g42200","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38507863,38508429,"Pavir.5KG391100","","","","","",""
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38523200,38525408,"Pavir.5KG391200","","AT5G57230","","Thioredoxin superfamily protein","LOC_Os06g28740","expressed protein"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38526890,38535611,"Pavir.5KG391300","GO:0055085,GO:0016020,GO:0006810,GO:0015171,GO:0003333","AT2G01170","BAT1","bidirectional amino acid transporter 1","LOC_Os01g42234","amino acid permease family protein, putative, expressed"
"Chr05K","5K@56.02",38385172,50651488,"Mo98","Chr05K",38537751,38540719,"Pavir.5KG391400","","AT1G68185","","Ubiquitin-like superfamily protein","LOC_Os07g38690","ubiquitin-like protein SMT3, putative, expressed"
