"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",35893191,35894507,"Pavir.7KG097700","","AT5G48290","","Heavy metal transport/detoxification superfamily protein ","LOC_Os04g39010","heavy metal associated domain containing protein, expressed"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34433352,34434837,"Pavir.7KG112200","GO:0008270,GO:0005515","AT3G05200","ATL6","RING/U-box superfamily protein","LOC_Os04g37730","RING-H2 finger protein ATL3B precursor, putative, expressed"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34437208,34439371,"Pavir.7KG112300","","AT3G47680","","DNA binding","LOC_Os06g02710","expressed protein"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34441168,34442080,"Pavir.7KG112400","","AT5G56170","LLG1","LORELEI-LIKE-GPI-ANCHORED PROTEIN 1","LOC_Os09g12620","GPI-anchored protein, putative, expressed"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34452994,34454526,"Pavir.7KG112455","GO:0008270,GO:0005515","AT5G10380","ATRING1,RING1","RING/U-box superfamily protein","LOC_Os04g37740","zinc finger, C3HC4 type domain containing protein, expressed"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34455219,34458622,"Pavir.7KG112510","","","","","LOC_Os04g37750","expressed protein"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34459927,34465255,"Pavir.7KG112565","","AT2G14095","","","LOC_Os04g37760","expressed protein"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34461046,34461603,"Pavir.7KG112620","","","","","",""
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",37754173,37756245,"Pavir.7KG119200","","","","","LOC_Os06g03486","expressed protein"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34509427,34513406,"Pavir.7KG140400","","AT3G03360","","F-box/RNI-like superfamily protein","LOC_Os06g04690","OsFBX184 - F-box domain containing protein, expressed"
"Chr07K","7K@21.97",33913648,47708677,"Zn66","Chr07K",34522547,34523139,"Pavir.7KG140455","","","","","",""
