"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG020700",15024194,15025188,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG020800",15030396,15031835,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG021400",15103791,15107505,"AT4G15610","","Uncharacterised protein family (UPF0497)","LOC_Os07g26110","membrane associated DUF588 domain containing protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG021500",15121587,15123059,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG021600",15128248,15129515,"AT1G05210","","Transmembrane protein 97, predicted","LOC_Os07g27450","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG021800",15150879,15151464,"AT2G32380","","Transmembrane protein 97, predicted","LOC_Os03g44450","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG022200",15185141,15186995,"AT5G25120","CYP71B11","ytochrome p450, family 71, subfamily B, polypeptide 11","LOC_Os04g10160","cytochrome P450, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065200",6656528,6662854,"AT1G54460","","TPX2 (targeting protein for Xklp2) protein family","LOC_Os07g08790","targeting protein for Xklp2, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065300",6665576,6665812,"","","","LOC_Os07g08800","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065400",6666614,6674736,"AT5G48520","","","LOC_Os07g08810","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065500",6674737,6679428,"AT2G14045","","","LOC_Os07g08820","C-Myc-binding protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065600",6682384,6683931,"AT3G56630","CYP94D2","cytochrome P450, family 94, subfamily D, polypeptide 2","LOC_Os01g58970","cytochrome P450, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065700",6695983,6696360,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065800",6697005,6702938,"AT5G03780","TRFL10","TRF-like 10","LOC_Os11g29240","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG065900",6707526,6707735,"AT3G57450","","","LOC_Os03g52410","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066000",6713808,6715058,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066100",6717052,6719055,"AT1G19730","ATH4,ATTRX4","Thioredoxin superfamily protein","LOC_Os07g08840","thioredoxin, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066300",6730056,6738249,"AT4G22140","EBS","PHD finger family protein / bromo-adjacent homology (BAH) domain-containing protein","LOC_Os07g08880","ES43 protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066400",6731305,6732022,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066500",6736821,6737150,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066600",6739787,6743762,"AT3G07040","RPM1,RPS3","NB-ARC domain-containing disease resistance protein","LOC_Os07g08890","disease resistance protein RPM1, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066800",6750381,6757349,"AT4G36400","","FAD-linked oxidases family protein","LOC_Os07g08950","FAD-linked oxidoreductase protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066900",6759155,6761485,"AT1G21250","PRO25,WAK1","cell wall-associated kinase","LOC_Os10g09620","OsWAK108 - OsWAK receptor-like protein kinase, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG066946",6735877,6736500,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067000",6763642,6766852,"AT5G04280","","RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain","LOC_Os07g08960","RNA recognition motif containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067200",6772303,6772746,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067300",6773676,6775855,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067400",6777039,6784518,"AT3G54970","","D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein","LOC_Os02g15360","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067500",6783677,6784171,"","","","LOC_Os05g07950","OsFBX160 - F-box domain containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067846",6775685,6776053,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG067900",6800955,6802681,"AT5G65850","","F-box and associated interaction domains-containing protein","LOC_Os07g35050","OsFBX237 - F-box domain containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068200",6824374,6827254,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068300",6828175,6828540,"","","","LOC_Os01g50230","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068400",6837227,6837706,"","","","LOC_Os06g50280","OsFBL31 - F-box domain and LRR containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068446",6802941,6805837,"AT3G07040","RPM1,RPS3","NB-ARC domain-containing disease resistance protein","LOC_Os11g29050","NBS-LRR type disease resistance protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068500",6847747,6851222,"AT1G69550","","disease resistance protein (TIR-NBS-LRR class)","LOC_Os11g10760","NBS-LRR disease resistance protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068700",6853091,6856537,"","","","LOC_Os07g35050","OsFBX237 - F-box domain containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068800",6856903,6860478,"AT1G50870","","F-box and associated interaction domains-containing protein","LOC_Os05g04750","OsFBX157 - F-box domain containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068846",6828845,6829441,"","","","LOC_Os12g43900","retrotransposon protein, putative, LINE subclass, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068900",6871865,6873681,"","","","LOC_Os07g02624","expressed protein"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068946",6843799,6847820,"AT3G14470","","NB-ARC domain-containing disease resistance protein","LOC_Os08g16460","NBS-LRR disease resistance protein, putative, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG068992",6813477,6814347,"","","","",""
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG069346",6862338,6863903,"","","","LOC_Os05g07960","F-box protein interaction domain containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG069400",6882251,6883795,"AT2G16810","","F-box and associated interaction domains-containing protein","LOC_Os07g35050","OsFBX237 - F-box domain containing protein, expressed"
"Chr02N","2N@24.04",6630499,18355492,"Ca44","Pavir.2NG069446",6875082,6877283,"AT1G67130","","F-box family protein","LOC_Os07g35050","OsFBX237 - F-box domain containing protein, expressed"
