"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30049431,30049823,"Pavir.4NG000700","","AT1G64405","","","LOC_Os06g33880","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30098729,30099253,"Pavir.4NG000711","","AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30111953,30112401,"Pavir.4NG000722","","AT4G02360","","Protein of unknown function, DUF538","LOC_Os11g13720","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30115589,30116292,"Pavir.4NG000733","","AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30119717,30120178,"Pavir.4NG000744","","AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30123661,30124122,"Pavir.4NG000755","","AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30127418,30128048,"Pavir.4NG000766","","AT4G02370","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30033589,30042120,"Pavir.4NG000800","GO:0008270","AT4G23860","","PHD finger protein-related","LOC_Os06g33810","zinc finger protein, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30042234,30042584,"Pavir.4NG000811","","","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30045662,30045985,"Pavir.4NG000822","","","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",22153466,22157684,"Pavir.4NG001400","GO:0006508,GO:0004190","AT1G49050","","Eukaryotic aspartyl protease family protein","LOC_Os06g15760","eukaryotic aspartyl protease domain containing protein, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",22149009,22152561,"Pavir.4NG001500","GO:0015743","AT3G18440","ALMT9,AtALMT9","aluminum-activated malate transporter 9","LOC_Os02g49790","aluminum-activated malate transporter, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",22226799,22237831,"Pavir.4NG002571","GO:0006914","AT3G19190","ATATG2,ATG2","autophagy 2","LOC_Os06g15700","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",22243484,22253667,"Pavir.4NG003742","GO:0055114,GO:0050661,GO:0050660,GO:0004499","AT1G19250","FMO1","flavin-dependent monooxygenase 1","LOC_Os06g10170","flavin-containing monooxygenase family protein, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30278295,30278756,"Pavir.4NG031400","","AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",30310268,30325450,"Pavir.4NG031411","GO:0006508,GO:0004185","AT2G27920","SCPL51","serine carboxypeptidase-like 51","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31563690,31564223,"Pavir.4NG045900","","","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31564842,31565228,"Pavir.4NG045911","","","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31620505,31622313,"Pavir.4NG045922","GO:0055114,GO:0050660,GO:0016491","AT5G44400","","FAD-binding Berberine family protein","LOC_Os06g35700","reticuline oxidase-like protein precursor, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31627466,31632328,"Pavir.4NG045933","","AT5G45775","","Ribosomal L5P family protein","LOC_Os01g10820","ribosomal protein L5, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31636590,31638635,"Pavir.4NG045944","","AT2G42760","","","LOC_Os06g35770","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31645099,31646280,"Pavir.4NG045955","","AT1G60720","","RNA-directed DNA polymerase (reverse transcriptase)-related family protein","LOC_Os11g05030","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Chr04N",31649829,31650953,"Pavir.4NG045966","","","","","LOC_Os01g66670","expressed protein"
