"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000700",30049431,30049823,"AT1G64405","","","LOC_Os06g33880","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000711",30098729,30099253,"AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000722",30111953,30112401,"AT4G02360","","Protein of unknown function, DUF538","LOC_Os11g13720","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000733",30115589,30116292,"AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000744",30119717,30120178,"AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000755",30123661,30124122,"AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000766",30127418,30128048,"AT4G02370","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000800",30033589,30042120,"AT4G23860","","PHD finger protein-related","LOC_Os06g33810","zinc finger protein, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000811",30042234,30042584,"","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG000822",30045662,30045985,"","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG001400",22153466,22157684,"AT1G49050","","Eukaryotic aspartyl protease family protein","LOC_Os06g15760","eukaryotic aspartyl protease domain containing protein, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG001500",22149009,22152561,"AT3G18440","ALMT9,AtALMT9","aluminum-activated malate transporter 9","LOC_Os02g49790","aluminum-activated malate transporter, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG002571",22226799,22237831,"AT3G19190","ATATG2,ATG2","autophagy 2","LOC_Os06g15700","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG003742",22243484,22253667,"AT1G19250","FMO1","flavin-dependent monooxygenase 1","LOC_Os06g10170","flavin-containing monooxygenase family protein, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG031400",30278295,30278756,"AT4G02360","","Protein of unknown function, DUF538","LOC_Os03g27580","expressed protein"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG031411",30310268,30325450,"AT2G27920","SCPL51","serine carboxypeptidase-like 51","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG045900",31563690,31564223,"","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG045911",31564842,31565228,"","","","",""
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG045922",31620505,31622313,"AT5G44400","","FAD-binding Berberine family protein","LOC_Os06g35700","reticuline oxidase-like protein precursor, putative, expressed"
"Chr04N","4N@31.99",6073624,41748130,"Al27","Pavir.4NG045933",31627466,31632328,"AT5G45775","","Ribosomal L5P family protein","LOC_Os01g10820","ribosomal protein L5, putative, expressed"
