"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9856744,9859985,"Pavir.9NG024000","","","","","LOC_Os01g71630","expressed protein"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9861518,9862569,"Pavir.9NG024100","GO:0005515","AT3G62250","UBQ5","ubiquitin 5","LOC_Os01g22490","40S ribosomal protein S27a, putative, expressed"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9864483,9865898,"Pavir.9NG024173","","AT4G39235","","","LOC_Os03g51459","expressed protein"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9866082,9868383,"Pavir.9NG024246","GO:0005737","AT5G42770","","Maf-like protein","LOC_Os03g51479","maf, putative, expressed"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9873124,9873737,"Pavir.9NG024319","","","","","",""
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9876466,9876794,"Pavir.9NG024392","","AT1G71830","ATSERK1,SERK1","somatic embryogenesis receptor-like kinase 1","LOC_Os03g49620","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9883004,9885252,"Pavir.9NG024465","","","","","LOC_Os03g51470","expressed protein"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",9886579,9887838,"Pavir.9NG024538","","","","","",""
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2372761,2375450,"Pavir.9NG034500","","","","","LOC_Os03g49070","expressed protein"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2394967,2395998,"Pavir.9NG034700","","","","","LOC_Os05g45690","expressed protein"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2398967,2399461,"Pavir.9NG034800","","","","","LOC_Os01g52290","expressed protein"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2407041,2410752,"Pavir.9NG035000","GO:0003824,GO:0006470,GO:0004722","AT2G28890","PLL4","poltergeist like 4","LOC_Os03g60650","protein phosphatase 2C, putative, expressed"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2442643,2443371,"Pavir.9NG035073","","","","","",""
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2455774,2458289,"Pavir.9NG035500","GO:0006355,GO:0003677","AT3G55370","OBP3","OBF-binding protein 3","LOC_Os03g60630","dof zinc finger domain containing protein, putative, expressed"
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2465182,2466690,"Pavir.9NG035600","","","","","",""
"Chr09N","9N@28.06",2370466,18617122,"P31","Chr09N",2483362,2487249,"Pavir.9NG035700","","AT5G02500","AT-HSC70-1,HSC70,HSC70-1,HSP70-1","heat shock cognate protein 70-1","LOC_Os11g47760","DnaK family protein, putative, expressed"
