"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24166652,24167422,"Pavir.3KG122000","","","","","",""
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24176516,24178915,"Pavir.3KG122027","GO:0006355,GO:0003677","AT5G22380","anac090,NAC090","NAC domain containing protein 90","LOC_Os05g37080","No apical meristem protein, putative, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24189119,24190335,"Pavir.3KG122054","","AT2G38090","","Duplicated homeodomain-like superfamily protein","LOC_Os05g37060","MYB family transcription factor, putative, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24206488,24206886,"Pavir.3KG122081","","AT3G11600","","","LOC_Os05g37030","expressed protein"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24160207,24165890,"Pavir.3KG122100","GO:0030127,GO:0006888,GO:0006886","AT2G27460","","sec23/sec24 transport family protein","LOC_Os05g37120","sec23/Sec24 zinc finger family protein, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24225488,24226599,"Pavir.3KG122108","","AT5G04820","ATOFP13,OFP13","ovate family protein 13","LOC_Os05g36990","ATOFP18/OFP18, putative, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24229695,24231029,"Pavir.3KG122135","","AT2G36026","","Ovate family protein","LOC_Os05g36970","DUF623 domain containing protein, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24247799,24248404,"Pavir.3KG122162","","","","","",""
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24249075,24255070,"Pavir.3KG122189","GO:0006468,GO:0005524,GO:0004672","AT3G44200","ATNEK6,IBO1,NEK6","NIMA (never in mitosis, gene A)-related 6","LOC_Os05g36960","protein kinase, putative, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24305942,24307575,"Pavir.3KG122216","","AT5G41220","ATGSTT3,GST10C,GSTT3","glutathione S-transferase THETA 3","LOC_Os08g12950","transposon protein, putative, Pong sub-class, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24309325,24316544,"Pavir.3KG122243","","AT1G08460","ATHDA8,HDA08,HDA8","histone deacetylase 8","LOC_Os05g36920","histone deacetylase, putative, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24318457,24321237,"Pavir.3KG122270","","AT5G06370","","NC domain-containing protein-related","LOC_Os05g36910","NC domain-containing protein, putative, expressed"
"Chr03K","3K@46.01",18940960,26170048,"Cu63","Chr03K",24331496,24334554,"Pavir.3KG122297","","AT4G03500","","Ankyrin repeat family protein","LOC_Os05g35310","ankyrin repeat family protein, putative, expressed"
