"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG261800",48768322,48773838,"AT3G06910","ULP1A","UB-like protease 1A","LOC_Os09g11380","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG262070",48774203,48776561,"AT4G38180","FRS5","FAR1-related sequence 5","LOC_Os08g33270","transposon protein, putative, unclassified, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG262340",48780766,48781467,"AT2G19130","","S-locus lectin protein kinase family protein","LOC_Os04g54140","receptor-like kinase, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG262610",48781475,48782687,"AT1G65790","ARK1,RK1","receptor kinase 1","LOC_Os04g54130","TKL_IRAK_DUF26-ld.1 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG262880",48794136,48794603,"AT1G11300","","protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding","LOC_Os04g54130","TKL_IRAK_DUF26-ld.1 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG286800",47894065,47897106,"AT5G26940","","Polynucleotidyl transferase, ribonuclease H-like superfamily protein","LOC_Os04g53200","exonuclease, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG287000",47873576,47879552,"AT2G43020","ATPAO2,PAO2","polyamine oxidase 2","LOC_Os04g53190","CPuORF12 - conserved peptide uORF-containing transcript, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG298700",45782578,45795836,"AT1G65810","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os04g51090","tRNA-splicing endonuclease positive effector-related, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG298800",45801496,45801944,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG298850",45805761,45806309,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG298900",45809666,45812665,"AT1G80480","PTAC17","plastid transcriptionally active 17","LOC_Os04g51100","COBW domain containing protein, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299000",45812791,45815660,"AT4G33270","CDC20.1","Transducin family protein / WD-40 repeat family protein","LOC_Os02g47180","WD repeat-containing protein, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299100",45816184,45820969,"AT5G11710","","ENTH/VHS family protein","LOC_Os04g51120","ENTH domain containing protein, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299300",45822062,45824787,"AT5G45580","","Homeodomain-like superfamily protein","LOC_Os02g47190","MYB family transcription factor, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299400",45825491,45826661,"AT2G38695","","","LOC_Os04g51140","E2F-related protein, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299500",45826944,45829081,"AT3G22370","AOX1A,ATAOX1A","alternative oxidase 1A","LOC_Os04g51150","transposon protein, putative, unclassified, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299700",45844381,45846014,"AT3G22370","AOX1A,ATAOX1A","alternative oxidase 1A","LOC_Os04g51160","transposon protein, putative, unclassified, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG299800",45847532,45851722,"AT4G19140","","","LOC_Os04g51166","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG300000",45852026,45859477,"AT1G31880","BRX,NLM9","DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein","LOC_Os02g47230","Disease resistance/zinc finger/chromosome condensation-like region protein, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG300300",45883583,45883952,"","","","LOC_Os06g45320","DEFL27 - Defensin and Defensin-like DEFL family"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG300401",45886942,45889306,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG300500",45895719,45900150,"AT1G64990","GTG1","GPCR-type G protein 1","LOC_Os04g51180","GPR89A, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG300700",45901433,45905598,"AT3G13960","AtGRF5,GRF5","growth-regulating factor 5","LOC_Os04g51190","growth-regulating factor, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG320023",45722792,45724846,"","","","LOC_Os02g30940","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG320046",45726106,45727281,"","","","LOC_Os02g30940","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG320069",45727426,45730114,"","","","LOC_Os02g30974","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG320092",45742540,45742912,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327500",45743606,45744809,"","","","LOC_Os02g30940","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327600",45745056,45747798,"","","","LOC_Os02g30974","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327616",45754111,45754483,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327632",45755307,45756482,"","","","LOC_Os02g30940","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327648",45756602,45766304,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327664",45757539,45760523,"AT2G31210","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os04g51070","helix-loop-helix DNA-binding domain containing protein, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327680",45761615,45762432,"","","","",""
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG327700",45768818,45772848,"AT2G04940","","scramblase-related","LOC_Os04g51080","scramblase, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG328000",45959044,45959647,"AT2G31953","LCR76","low-molecular-weight cysteine-rich 76","LOC_Os04g11195","gamma-thionin family domain containing protein, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG328100",45961035,45968825,"AT1G64850","","Calcium-binding EF hand family protein","LOC_Os04g51240","EF hand family protein, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG328200",45973403,45975264,"AT1G64850","","Calcium-binding EF hand family protein","LOC_Os04g51240","EF hand family protein, putative, expressed"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG328300",45975546,45985691,"","","","LOC_Os04g51290","expressed protein"
"Chr07K","7K@38",45702064,49631374,"Fe54","Pavir.7KG328400",45989237,45990932,"AT4G23710","VAG2,VATG2,VHA-G2","vacuolar ATP synthase subunit G2","LOC_Os04g51270","vacuolar ATPase G subunit, putative, expressed"
