"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003600",11938330,11941098,"AT5G45470","","Protein of unknown function (DUF594)","LOC_Os01g24240","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003601",11955407,11956647,"","","","LOC_Os10g28120","glycosyl hydrolase, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003602",11994999,12005100,"AT2G43970","","RNA-binding protein","LOC_Os11g14300","la domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003603",12006493,12008666,"AT2G43990","","","LOC_Os11g14240","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003604",12022279,12026479,"AT3G25470","","bacterial hemolysin-related","LOC_Os11g14230","uncharacterized protein yqxC, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003700",11931615,11932837,"","","","LOC_Os12g18260","zinc knuckle domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG003900",11926106,11929599,"AT5G48380","BIR1","BAK1-interacting receptor-like kinase 1","LOC_Os11g14420","inactive receptor kinase At1g27190 precursor, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG018900",30669384,30670847,"","","","LOC_Os05g51440","hsp20/alpha crystallin family protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG040300",18730701,18731228,"","","","LOC_Os05g40350","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG050100",34042900,34044470,"AT5G05800","","","LOC_Os04g16940","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG076600",29123048,29123737,"AT3G50060","MYB77","myb domain protein 77","LOC_Os03g13310","MYB family transcription factor, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG076601",29130979,29131626,"","","","LOC_Os03g13370","tetratricopeptide repeat domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG076602",29140390,29141356,"","","","LOC_Os02g05430","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG076603",29149791,29151017,"AT1G24270","","","LOC_Os11g29810","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG076604",29151775,29152638,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG076605",29178915,29181444,"","","","LOC_Os01g34410","transposon protein, putative, Pong sub-class, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG090100",21094852,21096078,"AT3G62560","","Ras-related small GTP-binding family protein","LOC_Os01g15010","miro, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG090300",21085682,21086457,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG090400",21060017,21061010,"","","","LOC_Os11g10470","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG097100",25434620,25459126,"AT1G79790","","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","LOC_Os11g19460","haloacid dehalogenase-like hydrolase family protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG097101",25488074,25490038,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG097102",25508479,25509554,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG097103",25552724,25554436,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG097104",25555033,25555621,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG101400",11757953,11761085,"AT5G02500","AT-HSC70-1,HSC70,HSC70-1,HSP70-1","heat shock cognate protein 70-1","LOC_Os11g47760","DnaK family protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG101700",11742239,11744532,"","","","LOC_Os11g10670","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG101701",11745972,11748109,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102100",12540459,12541174,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102200",12493023,12495919,"AT5G50300","ATAZG2,AZG2","Xanthine/uracil permease family protein","LOC_Os11g24060","permease domain containing protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102201",12498044,12499311,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102202",12503139,12503794,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102203",12519747,12521433,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102400",11856610,11857121,"AT5G17540","","HXXXD-type acyl-transferase family protein","LOC_Os10g35950","transferase family protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG102500",11853121,11855999,"AT5G17540","","HXXXD-type acyl-transferase family protein","LOC_Os10g35950","transferase family protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG105500",12582418,12585385,"AT5G06710","HAT14","homeobox from Arabidopsis thaliana","LOC_Os02g35770","homeobox associated leucine zipper, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG107800",12245553,12250947,"AT5G49800","","Polyketide cyclase/dehydrase and lipid transport superfamily protein","LOC_Os11g14070","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG107801",12289846,12291548,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG107900",12593837,12597460,"","","","LOC_Os06g07620","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG107901",12638255,12638734,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG107902",12652708,12653654,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG107903",12654914,12655270,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108000",11645172,11654053,"AT4G03500","","Ankyrin repeat family protein","LOC_Os11g14570","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108100",13147073,13148724,"AT2G29570","ATPCNA2,PCNA2","proliferating cell nuclear antigen 2","LOC_Os02g56130","PCNA - Putative DNA replicative polymerase clamp, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108300",12656056,12656574,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108301",12678691,12680653,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108302",12698353,12698766,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108303",12703233,12704280,"","","","LOC_Os04g16940","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108500",12784995,12789446,"AT2G37990","","ribosome biogenesis regulatory protein (RRS1) family protein","LOC_Os06g04970","expressed protein"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG108600",12780512,12782983,"","","","",""
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG110800",11052667,11053659,"AT3G45070","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os11g30910","sulfotransferase domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG110801",11078752,11079780,"AT3G45070","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os11g30910","sulfotransferase domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG110802",11088754,11089563,"AT3G45070","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os09g38239","sulfotransferase domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG110803",11107723,11108669,"AT3G45070","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os11g30810","sulfotransferase domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111100",11335803,11336569,"AT3G61590","HS,HWS","Galactose oxidase/kelch repeat superfamily protein","LOC_Os07g02890","OsFBX209 - F-box domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111600",14066775,14067866,"AT3G49510","","F-box family protein","LOC_Os02g41910","OsFBO12 - F-box and other domain containing protein, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111601",14072131,14073342,"AT1G62730","","Terpenoid synthases superfamily protein","LOC_Os06g01470","AGAP000326-PA, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111602",14089801,14097926,"AT5G23960","ATTPS21,TPS21","terpene synthase 21","LOC_Os03g24640","terpene synthase, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111603",14157240,14158467,"AT4G24220","AWI31,VEP1","NAD(P)-binding Rossmann-fold superfamily protein","LOC_Os03g32170","NAD dependent epimerase/dehydratase family protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111604",14249255,14249990,"AT3G14470","","NB-ARC domain-containing disease resistance protein","LOC_Os11g10610","NBS-LRR disease resistance protein, putative, expressed"
"Chr08K","8K@16.12",10700020,36811747,"Ca44","Pavir.8KG111605",14266460,14269354,"","","","",""
