"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG087700",56302105,56309605,"AT5G10920","","L-Aspartase-like family protein","LOC_Os03g60992","expressed protein"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG087900",56291711,56292791,"","","","",""
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG088000",56288531,56291238,"AT5G45400","ATRPA70C,RPA70C","Replication factor-A protein 1-related","LOC_Os12g32310","expressed protein"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG088600",56275198,56278979,"AT3G03610","","ELMO/CED-12 family protein","LOC_Os03g20670","ELMO/CED-12 family protein, putative, expressed"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG088700",56272480,56274318,"AT3G53040","","late embryogenesis abundant protein, putative / LEA protein, putative","LOC_Os03g20680","late embryogenesis abundant protein 1, putative, expressed"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG088800",56261420,56266130,"AT1G08680","AGD14,ZIGA4","ARF GAP-like zinc finger-containing protein ZIGA4","LOC_Os03g20720","GTPase-activating protein, putative, expressed"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG088900",56248854,56250056,"","","","",""
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG089300",56195983,56196640,"","","","",""
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG089400",56195213,56195668,"","","","",""
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG089600",56179023,56186025,"AT3G20000","TOM40","translocase of the outer mitochondrial membrane 40","LOC_Os03g20750","outer mitochondrial membrane porin, putative, expressed"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG089700",56176951,56178398,"AT3G43720","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","LOC_Os03g20760","LTPL66 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG089800",56158807,56159417,"AT1G54930","","GRF zinc finger / Zinc knuckle protein","LOC_Os07g04470","GRF zinc finger family protein"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG089900",56142849,56147007,"AT3G20770","AtEIN3,EIN3","Ethylene insensitive 3 family protein","LOC_Os03g20790","ethylene-insensitive 3, putative, expressed"
"Chr09K","9K@76.29",50343283,59610088,"Al27","Pavir.9KG090100",56134517,56138239,"AT3G14470","","NB-ARC domain-containing disease resistance protein","LOC_Os03g20840","disease resistance RPP13-like protein 1, putative, expressed"
