"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2675314,2677220,"Pavir.5KG001000","","","","","",""
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2070516,2072626,"Pavir.5KG024000","GO:0042546,GO:0016020,GO:0008107","AT2G03220","ATFT1,ATFUT1,FT1,MUR2","fucosyltransferase 1","LOC_Os08g24750","xyloglucan fucosyltransferase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2065353,2069657,"Pavir.5KG024100","","","","","LOC_Os07g02910","OsFBL33 - F-box domain and LRR containing protein, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1965461,1967953,"Pavir.5KG027100","GO:0016788","AT1G28600","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g11750","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1949943,1952331,"Pavir.5KG027400","","AT1G29050","TBL38","TRICHOME BIREFRINGENCE-LIKE 38","LOC_Os01g11810","powdery mildew resistant protein 5, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1931265,1935362,"Pavir.5KG027500","","","","","LOC_Os01g11850","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1929479,1931131,"Pavir.5KG027600","","","","","LOC_Os08g04090","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1927117,1929239,"Pavir.5KG027700","GO:0005515","AT2G30050","","transducin family protein / WD-40 repeat family protein","LOC_Os02g04320","WD domain, G-beta repeat domain containing protein, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1919868,1922580,"Pavir.5KG027800","","AT1G53280","","Class I glutamine amidotransferase-like superfamily protein","LOC_Os01g11860","DJ-1 family protein, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1908965,1919401,"Pavir.5KG027900","GO:0006397,GO:0005634","AT1G17760","ATCSTF77,CSTF77","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os12g38380","tetratricopeptide repeat containing protein, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1903571,1904729,"Pavir.5KG028100","GO:0046983","AT3G06120","MUTE","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os05g51820","helix-loop-helix DNA-binding protein, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1902216,1902899,"Pavir.5KG028200","","","","","",""
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1896815,1900269,"Pavir.5KG028300","","AT1G53280","","Class I glutamine amidotransferase-like superfamily protein","LOC_Os01g11880","DJ-1 family protein, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1957579,1958518,"Pavir.5KG030340","","AT5G45910","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g11750","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1927057,1927542,"Pavir.5KG030740","","","","","",""
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2038893,2042576,"Pavir.5KG031100","GO:0016788","AT5G45910","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g11710","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2028767,2030174,"Pavir.5KG031200","","AT1G28660","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g11750","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2050104,2053198,"Pavir.5KG031400","GO:0016788","AT5G45910","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g11650","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2054938,2055279,"Pavir.5KG031433","","","","","",""
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2058933,2061977,"Pavir.5KG031466","GO:0006468,GO:0004672","AT5G06740","","Concanavalin A-like lectin protein kinase family protein","LOC_Os02g06160","cysteine-rich receptor-like protein kinase 16 precursor, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2085111,2085511,"Pavir.5KG031500","","AT2G31090","","","LOC_Os01g11600","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2086370,2093445,"Pavir.5KG031600","","AT2G29970","","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","LOC_Os11g01330","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2099352,2101328,"Pavir.5KG031700","","AT1G06240","","Protein of unknown function DUF455","LOC_Os01g11590","uncharacterized protein HI0077, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2101736,2106279,"Pavir.5KG031800","GO:0005515","AT1G06230","GTE4","global transcription factor group E4","LOC_Os01g11580","bromodomain containing protein, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2106293,2109868,"Pavir.5KG031901","GO:0016788","AT5G45920","","SGNH hydrolase-type esterase superfamily protein","LOC_Os01g11570","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2109945,2115096,"Pavir.5KG032000","","AT4G37440","","","LOC_Os01g21450","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2116329,2116739,"Pavir.5KG032100","","","","","",""
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2656676,2658991,"Pavir.5KG032400","","AT3G63130","ATRANGAP1,RANGAP1","RAN GTPase activating protein 1","LOC_Os05g46560","RAN GTPase-activating protein 1, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2653407,2654722,"Pavir.5KG032500","GO:0055114,GO:0020037,GO:0006979,GO:0004601","AT5G05340","","Peroxidase superfamily protein","LOC_Os01g10850","peroxidase precursor, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",1958519,1959777,"Pavir.5KG033280","","AT5G45910","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os01g11750","GDSL-like lipase/acylhydrolase, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2626816,2627113,"Pavir.5KG033800","","","","","LOC_Os01g10880","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2629600,2631683,"Pavir.5KG033901","GO:0007165","AT4G18700","ATWL4,CIPK12,SnRK3.9,WL4","CBL-interacting protein kinase 12","LOC_Os01g10870","CAMK_KIN1/SNF1/Nim1_like.7 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2633667,2637587,"Pavir.5KG034000","","AT5G19760","","Mitochondrial substrate carrier family protein","LOC_Os05g11780","mitochondrial carrier protein, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2670417,2674924,"Pavir.5KG034400","GO:0006468,GO:0004672","AT1G06390","ATGSK1,ATSK2-3,ATSK22,BIL2,GSK1,SK22","GSK3/SHAGGY-like protein kinase 1","LOC_Os01g10840","CGMC_GSK.2 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2137839,2140869,"Pavir.5KG034501","","AT3G15030","MEE35,TCP4","TCP family transcription factor 4","LOC_Os01g11550","TCP family transcription factor, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2680575,2682205,"Pavir.5KG035000","","","","","LOC_Os08g31270","expressed protein"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2683042,2685634,"Pavir.5KG035100","","AT3G58700","","Ribosomal L5P family protein","LOC_Os06g35730","ribosomal protein L5, putative, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2686089,2687596,"Pavir.5KG035200","GO:0006353","AT4G18740","","Rho termination factor","LOC_Os01g10810","rho termination factor, N-terminal domain containing protein, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2687955,2692167,"Pavir.5KG035300","GO:0005515","AT5G45760","","Transducin/WD40 repeat-like superfamily protein","LOC_Os01g10790","WD domain, G-beta repeat domain containing protein, expressed"
"Chr05K","5K@12.07",1892161,10384768,"Mn55","Chr05K",2693674,2696597,"Pavir.5KG035400","GO:0006468,GO:0005524,GO:0004672","AT4G32300","SD2-5","S-domain-2 5","LOC_Os01g10710","receptor-like protein kinase, putative, expressed"
