"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30032236,30037802,"Pavir.9NG204000","","AT3G50430","","","LOC_Os07g02950","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30092814,30093293,"Pavir.9NG204073","GO:0055114,GO:0008137","ATCG00420","","NADH dehydrogenase subunit J","LOC_Os01g58024","NADPH-dependent oxidoreductase, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30010741,30014467,"Pavir.9NG204100","","AT4G05400","","copper ion binding","LOC_Os01g32790","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30093551,30094120,"Pavir.9NG204146","GO:0055114,GO:0051536","ATCG00430","","photosystem II reaction center protein G","LOC_Os01g58022","NADPH-dependent oxidoreductase, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30015511,30018753,"Pavir.9NG204173","","","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30094125,30094298,"Pavir.9NG204219","GO:0055114,GO:0008137","ATCG00440","","NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein","LOC_Os10g38206","NADPH-dependent oxidoreductase, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30026588,30027406,"Pavir.9NG204246","","","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30094335,30095555,"Pavir.9NG204292","","","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30096458,30096871,"Pavir.9NG204365","GO:0046961,GO:0046933,GO:0045261,GO:0015986","ATCG00470","","ATP synthase epsilon chain","LOC_Os01g58000","ATP synthase epsilon chain, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30097581,30099596,"Pavir.9NG204438","GO:0005524","ATCG00480","","ATP synthase subunit beta","LOC_Os01g25065","ATP synthase subunit beta, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30100561,30101195,"Pavir.9NG204511","GO:0000287,GO:0016984,GO:0015977","ATCG00490","","ribulose-bisphosphate carboxylases","LOC_Os10g21268","ribulose bisphosphate carboxylase large chain precursor, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30100523,30102053,"Pavir.9NG204584","GO:0000287","ATCG00490","","ribulose-bisphosphate carboxylases","LOC_Os10g21268","ribulose bisphosphate carboxylase large chain precursor, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",53073861,53075339,"Pavir.9NG205600","GO:0016746,GO:0008152","AT1G06520","ATGPAT1,GPAT1","glycerol-3-phosphate acyltransferase 1","LOC_Os10g41070","glycerol-3-phosphate acyltransferase 1, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28158596,28165655,"Pavir.9NG269200","GO:0005515","AT5G19000","ATBPM1,BPM1","BTB-POZ and MATH domain 1","LOC_Os10g29310","MBTB51 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28168139,28169194,"Pavir.9NG269300","GO:0005515","AT5G19000","ATBPM1,BPM1","BTB-POZ and MATH domain 1","LOC_Os10g29310","MBTB51 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28187681,28189823,"Pavir.9NG269373","GO:0005515","AT2G39760","ATBPM3,BPM3","BTB/POZ/MATH-domains containing protein","LOC_Os10g28770","MBTB34 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",46525526,46526099,"Pavir.9NG277800","","","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",46533540,46533971,"Pavir.9NG277814","","AT3G21290","","dentin sialophosphoprotein-related","LOC_Os03g08820","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",46536975,46537817,"Pavir.9NG277828","","AT3G03341","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30920423,30920797,"Pavir.9NG278000","","","","","LOC_Os12g15980","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",30969835,30971303,"Pavir.9NG278014","","","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28870495,28872621,"Pavir.9NG283900","","AT4G02715","","","LOC_Os10g28710","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28883403,28883909,"Pavir.9NG283973","GO:0006355,GO:0003677","AT1G62990","IXR11,KNAT7","KNOTTED-like homeobox of Arabidopsis thaliana 7","LOC_Os03g03164","homeobox protein knotted-1, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28866825,28867127,"Pavir.9NG284000","","AT3G22540","","Protein of unknown function (DUF1677)","LOC_Os10g28700","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28884181,28885406,"Pavir.9NG284046","GO:0008234,GO:0006508","","","","LOC_Os11g42610","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28869869,28869982,"Pavir.9NG284073","","","","","",""
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28595774,28607274,"Pavir.9NG284100","","AT3G22790","","Kinase interacting (KIP1-like) family protein","LOC_Os10g28610","KIP1, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28885965,28886847,"Pavir.9NG284119","","AT5G45540","","Protein of unknown function (DUF594)","LOC_Os10g11310","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28662269,28666503,"Pavir.9NG284173","","AT5G61370","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os10g28640","RIO1 family protein, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28593019,28595405,"Pavir.9NG284200","GO:0016021,GO:0015116,GO:0008272,GO:0055085,GO:0016020,GO:0008271,GO:0009507","AT3G51895","AST12,SULTR3;1","sulfate transporter 3;1","LOC_Os03g06520","sulfate transporter, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",45638626,45642993,"Pavir.9NG304000","","AT3G42170","","BED zinc finger ;hAT family dimerisation domain","LOC_Os11g36790","OsFBO6 - F-box and other domain containing protein, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",45643006,45645666,"Pavir.9NG304014","GO:0005515","","","","LOC_Os10g04700","OsFBX361 - F-box domain containing protein, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",45653864,45655738,"Pavir.9NG304028","","AT5G57940","ATCNGC5,CNGC5","cyclic nucleotide gated channel 5","LOC_Os04g55080","cyclic nucleotide-gated ion channel, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",40321304,40321964,"Pavir.9NG304500","","","","","LOC_Os11g41630","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",40328206,40328749,"Pavir.9NG304514","","","","","LOC_Os08g17020","expressed protein"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",44437579,44446217,"Pavir.9NG307500","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT5G07990","CYP75B1,D501,TT7","Cytochrome P450 superfamily protein","LOC_Os10g16974","cytochrome P450, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",27968476,27970365,"Pavir.9NG311100","","AT3G15200","","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os01g05860","PPR repeat domain containing protein, putative, expressed"
"Chr09N","9N@62.13",27846586,53922430,"Rb85","Chr09N",28005065,28017561,"Pavir.9NG311173","","","","","",""
