"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",32354802,32359054,"Pavir.3KG089900","GO:0006468,GO:0005524,GO:0004672","AT5G38260","","Protein kinase superfamily protein","LOC_Os01g04570","Ser/Thr protein kinase, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",32379487,32380341,"Pavir.3KG089927","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",32387399,32389567,"Pavir.3KG089954","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",32391052,32392037,"Pavir.3KG089981","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",32395023,32396362,"Pavir.3KG101800","GO:0030247","AT1G18390","","Protein kinase superfamily protein","LOC_Os01g04570","Ser/Thr protein kinase, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",32392038,32394629,"Pavir.3KG101900","","AT2G03380","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os06g08650","pentatricopeptide, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24166652,24167422,"Pavir.3KG122000","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24176516,24178915,"Pavir.3KG122027","GO:0006355,GO:0003677","AT5G22380","anac090,NAC090","NAC domain containing protein 90","LOC_Os05g37080","No apical meristem protein, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24189119,24190335,"Pavir.3KG122054","","AT2G38090","","Duplicated homeodomain-like superfamily protein","LOC_Os05g37060","MYB family transcription factor, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24206488,24206886,"Pavir.3KG122081","","AT3G11600","","","LOC_Os05g37030","expressed protein"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24160207,24165890,"Pavir.3KG122100","GO:0030127,GO:0006888,GO:0006886","AT2G27460","","sec23/sec24 transport family protein","LOC_Os05g37120","sec23/Sec24 zinc finger family protein, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24225488,24226599,"Pavir.3KG122108","","AT5G04820","ATOFP13,OFP13","ovate family protein 13","LOC_Os05g36990","ATOFP18/OFP18, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24229695,24231029,"Pavir.3KG122135","","AT2G36026","","Ovate family protein","LOC_Os05g36970","DUF623 domain containing protein, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24247799,24248404,"Pavir.3KG122162","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24249075,24255070,"Pavir.3KG122189","GO:0006468,GO:0005524,GO:0004672","AT3G44200","ATNEK6,IBO1,NEK6","NIMA (never in mitosis, gene A)-related 6","LOC_Os05g36960","protein kinase, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24305942,24307575,"Pavir.3KG122216","","AT5G41220","ATGSTT3,GST10C,GSTT3","glutathione S-transferase THETA 3","LOC_Os08g12950","transposon protein, putative, Pong sub-class, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24309325,24316544,"Pavir.3KG122243","","AT1G08460","ATHDA8,HDA08,HDA8","histone deacetylase 8","LOC_Os05g36920","histone deacetylase, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24318457,24321237,"Pavir.3KG122270","","AT5G06370","","NC domain-containing protein-related","LOC_Os05g36910","NC domain-containing protein, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24331496,24334554,"Pavir.3KG122297","","AT4G03500","","Ankyrin repeat family protein","LOC_Os05g35310","ankyrin repeat family protein, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24347837,24355591,"Pavir.3KG122324","GO:0016021,GO:0006820,GO:0016020,GO:0005452","AT1G15460","ATBOR4,BOR4","HCO3- transporter family","LOC_Os01g08020","boron transporter protein, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24390335,24392512,"Pavir.3KG122351","GO:0005524,GO:0004386,GO:0006281,GO:0003678,GO:0000723","AT3G51700","","PIF1 helicase","LOC_Os12g42990","retrotransposon protein, putative, unclassified, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24397784,24400397,"Pavir.3KG122378","","AT4G03500","","Ankyrin repeat family protein","LOC_Os05g35310","ankyrin repeat family protein, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24404472,24405905,"Pavir.3KG122405","GO:0006355,GO:0003677","AT3G52440","","Dof-type zinc finger DNA-binding family protein","LOC_Os05g36900","dof zinc finger domain containing protein, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24408508,24409193,"Pavir.3KG122432","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24430671,24432410,"Pavir.3KG122459","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24442168,24443589,"Pavir.3KG122486","GO:0016567,GO:0004842","AT3G18710","ATPUB29,PUB29","plant U-box 29","LOC_Os05g36360","U-box domain containing protein, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24447054,24450054,"Pavir.3KG122513","","AT2G20540","MEF21","mitochondrial editing factor  21","LOC_Os05g36350","pentatricopeptide, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24450055,24452708,"Pavir.3KG122540","","AT3G47680","","DNA binding","LOC_Os06g02710","expressed protein"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24476978,24477439,"Pavir.3KG122567","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24477840,24478926,"Pavir.3KG122594","GO:0008270,GO:0005515","AT3G10910","","RING/U-box superfamily protein","LOC_Os05g36310","zinc finger, C3HC4 type domain containing protein, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24482248,24482673,"Pavir.3KG122621","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24501023,24503607,"Pavir.3KG122648","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24508791,24512370,"Pavir.3KG122675","","AT5G09810","ACT7","actin 7","LOC_Os05g36290","actin, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24512774,24513522,"Pavir.3KG122702","GO:0003677,GO:0000786","AT1G09200","","Histone superfamily protein","LOC_Os04g34240","histone H3, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24515485,24516401,"Pavir.3KG122729","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24518257,24518580,"Pavir.3KG122756","","","","","",""
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24518364,24521841,"Pavir.3KG122783","GO:0042578,GO:0042132,GO:0005975","AT1G43670","","Inositol monophosphatase family protein","LOC_Os05g36270","fructose-1,6-bisphosphatase, putative, expressed"
"Chr03K","3K@54.02",20786505,51144454,"Mg26","Chr03K",24521963,24524284,"Pavir.3KG122810","GO:0006796,GO:0005737,GO:0004427,GO:0000287","AT2G46860","AtPPa3,PPa3","pyrophosphorylase 3","LOC_Os05g36260","soluble inorganic pyrophosphatase, putative, expressed"
